id,name,lat,long,dock_count,city,installation_date
71361,SE11 Kennington,37.448598,-122.159504,,SE11 Kennington,8/14/2013
72680,SE7 Charlton,37.4256839,-122.1377775,,SE7 Charlton,8/14/2013
72749,SE8 Deptford,37.795001,-122.39997,,SE8 Deptford,8/19/2013
72750,SE9 Eltham,37.79728,-122.398436,,SE9 Eltham,8/19/2013
73519,SE10 Greenwich,37.794231,-122.402923,,SE10 Greenwich,8/19/2013
76297,SE11 Kennington,37.795425,-122.404767,,SE11 Kennington,8/19/2013
77898,SE7 Charlton,37.788975,-122.403452,,SE7 Charlton,8/19/2013
95364,SE8 Deptford,37.799953,-122.398525,,SE8 Deptford,8/19/2013
96130,SE9 Eltham,37.790302,-122.390637,,SE9 Eltham,8/20/2013
96805,SE10 Greenwich,37.795392,-122.394203,,SE10 Greenwich,8/20/2013
97725,SE11 Kennington,37.791464,-122.391034,,SE11 Kennington,8/20/2013
98221,SW3 Chelsea,37.783871,-122.408433,,SW3 Chelsea,8/25/2013
100125,SW4 Clapham,37.787152,-122.388013,,SW4 Clapham,8/20/2013
100727,SE8 Deptford,37.789756,-122.394643,,SE8 Deptford,8/20/2013
101767,SE9 Eltham,37.792251,-122.397086,,SE9 Eltham,8/20/2013
104022,SE10 Greenwich,37.781752,-122.405127,,SE10 Greenwich,8/21/2013
105265,SE11 Kennington,37.77865,-122.418235,,SE11 Kennington,8/21/2013
105822,SE8 Deptford,37.781332,-122.418603,,SE8 Deptford,8/21/2013
106066,SE9 Eltham,37.80477,-122.403234,,SE9 Eltham,8/21/2013
107947,SE10 Greenwich,37.780526,-122.390288,,SE10 Greenwich,8/22/2013
108758,SE11 Kennington,37.785299,-122.396236,,SE11 Kennington,8/22/2013
109914,SE8 Deptford,37.786978,-122.398108,,SE8 Deptford,8/22/2013
110414,SE9 Eltham,37.782259,-122.392738,,SE9 Eltham,8/22/2013
110623,SE10 Greenwich,37.771058,-122.402717,,SE10 Greenwich,8/22/2013
125283,SE11 Kennington,37.774814,-122.418954,,SE11 Kennington,8/23/2013
125894,SE8 Deptford,37.776619,-122.417385,,SE8 Deptford,8/23/2013
126189,SE9 Eltham,37.784878,-122.401014,,SE9 Eltham,8/23/2013
126934,SE10 Greenwich,37.7766,-122.39547,,SE10 Greenwich,8/23/2013
127130,SE11 Kennington,37.776617,-122.39526,,SE11 Kennington,8/23/2013
129504,SW7 South Kensington,37.788446,-122.408499,,SW7 South Kensington,8/23/2013
130175,SW8 South Lambeth,37.781039,-122.411748,,SW8 South Lambeth,8/23/2013
130390,SW9 Stockwell,37.798522,-122.407245,,SW9 Stockwell,8/21/2013
132790,SW10 West Brompton,37.794139,-122.394434,,SW10 West Brompton,8/25/2013
133233,SW4 Clapham,37.7913,-122.399051,,SW4 Clapham,8/25/2013
133831,SW5 Earls Court,37.786305,-122.404966,,SW5 Earls Court,8/25/2013
134691,SW6 Fulham,37.789625,-122.400811,,SW6 Fulham,8/25/2013
134845,SW7 South Kensington,37.352601,-121.905733,,SW7 South Kensington,12/31/2013
135219,SW8 South Lambeth,37.798541,-122.400862,,SW8 South Lambeth,1/22/2014
136866,SW9 Stockwell,37.491269,-122.236234,,SW9 Stockwell,2/20/2014
137299,SW10 West Brompton,37.342725,-121.895617,,SW10 West Brompton,04/09/2014
137559,,,,,,
138375,,,,,,
152007,,,,,,
155037,,,,,,
156014,,,,,,
156339,,,,,,
157474,,,,,,
158900,,,,,,
159880,,,,,,
160297,,,,,,
162318,,,,,,
164100,,,,,,
165429,,,,,,
165883,,,,,,
166614,,,,,,
167886,,,,,,
168369,,,,,,
169265,,,,,,
171382,,,,,,
183944,,,,,,
185025,,,,,,
185026,,,,,,
186547,,,,,,
186844,,,,,,
187894,,,,,,
187954,,,,,,
190263,,,,,,
191834,,,,,,
192688,,,,,,
193064,,,,,,
194111,,,,,,
194252,,,,,,
196837,,,,,,
197431,,,,,,
432311,,,,,,
431694,,,,,,
430001,,,,,,
428200,,,,,,
426245,,,,,,
424135,,,,,,
422281,,,,,,
421798,,,,,,
421197,,,,,,
419606,,,,,,
417758,,,,,,
415996,,,,,,
414191,,,,,,
412448,,,,,,
411888,,,,,,
411261,,,,,,
409717,,,,,,
408045,,,,,,
389576,,,,,,
387805,,,,,,
385926,,,,,,
384069,,,,,,
382256,,,,,,
381653,,,,,,
380958,,,,,,
379318,,,,,,
377510,,,,,,
375507,,,,,,
373477,,,,,,
371842,,,,,,
371330,,,,,,
6478,,,,,,
20506,,,,,,
21760,,,,,,
21917,,,,,,
22264,,,,,,
26291,,,,,,
28171,,,,,,
29412,,,,,,
29888,,,,,,
30876,,,,,,
32121,,,,,,
32172,,,,,,
33020,,,,,,
35351,,,,,,
36367,,,,,,
38067,,,,,,
38508,,,,,,
56781,,,,,,
57638,,,,,,
59188,,,,,,
60258,,,,,,
61230,,,,,,
62246,,,,,,
62737,,,,,,
63455,,,,,,
65538,,,,,,
68635,,,,,,
69980,,,,,,
71361,,,,,,
72680,,,,,,
72749,,,,,,
72750,,,,,,
73519,,,,,,
76297,,,,,,
77898,,,,,,
95364,,,,,,
96130,,,,,,
96805,,,,,,
97725,,,,,,
98221,,,,,,
100125,,,,,,
100727,,,,,,
101767,,,,,,
104022,,,,,,
105265,,,,,,
105822,,,,,,
106066,,,,,,
107947,,,,,,
108758,,,,,,
109914,,,,,,
110414,,,,,,
110623,,,,,,
125283,,,,,,
125894,,,,,,
126189,,,,,,
126934,,,,,,
127130,,,,,,
129504,,,,,,
130175,,,,,,
130390,,,,,,
132790,,,,,,
133233,,,,,,
133831,,,,,,
134691,,,,,,
134845,,,,,,
135219,,,,,,
136866,,,,,,
137299,,,,,,
137559,,,,,,
138375,,,,,,
150815,,,,,,
152007,,,,,,
155037,,,,,,
156014,,,,,,
156339,,,,,,
157474,,,,,,
158900,,,,,,
159880,,,,,,
160297,,,,,,
162318,,,,,,
164100,,,,,,
165429,,,,,,
165883,,,,,,
166614,,,,,,
167886,,,,,,
168369,,,,,,
169265,,,,,,
171382,,,,,,
183944,,,,,,
185025,,,,,,
185026,,,,,,
186547,,,,,,
186844,,,,,,
187894,,,,,,
187954,,,,,,
190263,,,,,,
191834,,,,,,
192688,,,,,,
193064,,,,,,
194111,,,,,,
194252,,,,,,
196837,,,,,,
197431,,,,,,
432311,,,,,,
431694,,,,,,
430001,,,,,,
428200,,,,,,
426245,,,,,,
424135,,,,,,
422281,,,,,,
421798,,,,,,
421197,,,,,,
419606,,,,,,
417758,,,,,,
415996,,,,,,
414191,,,,,,
412448,,,,,,
411888,,,,,,
411261,,,,,,
409717,,,,,,
408045,,,,,,
389576,,,,,,
387805,,,,,,
385926,,,,,,
384069,,,,,,
382256,,,,,,
381653,,,,,,
380958,,,,,,
379318,,,,,,
377510,,,,,,
375507,,,,,,
373477,,,,,,
371842,,,,,,
808239,,,,,,
806515,,,,,,
806161,,,,,,
787814,,,,,,
787441,,,,,,
786907,,,,,,
785357,,,,,,
783611,,,,,,
781955,,,,,,
780373,,,,,,
779912,,,,,,
779457,,,,,,
778946,,,,,,
777476,,,,,,
775723,,,,,,
774043,,,,,,
772184,,,,,,
770401,,,,,,
769947,,,,,,
769465,,,,,,
767942,,,,,,
766163,,,,,,
748527,,,,,,
746802,,,,,,
745065,,,,,,
743232,,,,,,
741555,,,,,,
741149,,,,,,
740608,,,,,,
739103,,,,,,
737322,,,,,,
735540,,,,,,
733722,,,,,,
731973,,,,,,
731505,,,,,,
730991,,,,,,
729377,,,,,,
727572,,,,,,
725766,,,,,,
723906,,,,,,
706760,,,,,,
704923,,,,,,
703059,,,,,,
702578,,,,,,
701830,,,,,,
700146,,,,,,
698247,,,,,,
696314,,,,,,
694406,,,,,,
692676,,,,,,
692314,,,,,,
691852,,,,,,
690188,,,,,,
688333,,,,,,
686511,,,,,,
684567,,,,,,
682742,,,,,,
682235,,,,,,
681600,,,,,,
662383,,,,,,
661938,,,,,,
660458,,,,,,
658709,,,,,,
656937,,,,,,
655181,,,,,,
653363,,,,,,
652958,,,,,,
652499,,,,,,
650983,,,,,,
649393,,,,,,
647767,,,,,,
646026,,,,,,
645300,,,,,,
644810,,,,,,
644083,,,,,,
626705,,,,,,
626210,,,,,,
624658,,,,,,
622990,,,,,,
621206,,,,,,
619446,,,,,,
617728,,,,,,
617381,,,,,,
616821,,,,,,
615298,,,,,,
613625,,,,,,
611821,,,,,,
610020,,,,,,
609177,,,,,,
608606,,,,,,
608095,,,,,,
606482,,,,,,
604769,,,,,,
603001,,,,,,
588914,,,,,,
588363,,,,,,
587661,,,,,,
586815,,,,,,
586434,,,,,,
586106,,,,,,
585669,,,,,,
585457,,,,,,
584982,,,,,,
583808,,,,,,
582445,,,,,,
582101,,,,,,
581684,,,,,,
580944,,,,,,
579447,,,,,,
578213,,,,,,
577071,,,,,,
576109,,,,,,
575739,,,,,,
561337,,,,,,
561154,,,,,,
560706,,,,,,
560224,,,,,,
559973,,,,,,
558849,,,,,,
557162,,,,,,
555398,,,,,,
554990,,,,,,
554498,,,,,,
552829,,,,,,
551567,,,,,,
550336,,,,,,
548401,,,,,,
546606,,,,,,
546233,,,,,,
545691,,,,,,
544038,,,,,,
524898,,,,,,
523833,,,,,,
521984,,,,,,
520023,,,,,,
518059,,,,,,
516081,,,,,,
515475,,,,,,
514965,,,,,,
513071,,,,,,
511128,,,,,,
509400,,,,,,
507408,,,,,,
505740,,,,,,
505183,,,,,,
504568,,,,,,
502858,,,,,,
500877,,,,,,
498959,,,,,,
496822,,,,,,
477115,,,,,,
475194,,,,,,
473282,,,,,,
472733,,,,,,
472073,,,,,,
470355,,,,,,
468710,,,,,,
466858,,,,,,
464905,,,,,,
462943,,,,,,
462517,,,,,,
461888,,,,,,
460159,,,,,,
458437,,,,,,
456510,,,,,,
454521,,,,,,
452469,,,,,,
451864,,,,,,
